uid,eventID,pointID,stemDistance,stemAzimuth,individualID,taxonID,scientificName,taxonRank
12bd8d55-8c94-4c0a-b902-5867111289f5,vst_BART_2015,41,16.7,33.2,NEON.PLA.D01.BART.00807,PICEA,Picea sp.,genus
6ed39c79-3589-4d4b-8791-ede853699401,vst_BART_2018,61,8.7,238.3,NEON.PLA.D01.BART.00808,ACRU,Acer rubrum L.,species
ac335b82-b826-4939-91e4-a73e3d3e69bf,vst_BART_2015,43,4,246.9,NEON.PLA.D01.BART.00809,ACRU,Acer rubrum L.,species
07de4277-8d8b-480f-bdba-a0caba65d3b5,vst_BART_2015,43,3.8,253.2,NEON.PLA.D01.BART.00809A,ACRU,Acer rubrum L.,species
ae8e9cc0-153b-4d31-9ee6-c3f95c14a121,vst_BART_2015,43,2.8,248,NEON.PLA.D01.BART.00810,FAGR,Fagus grandifolia Ehrh.,species
1322bee9-df94-407a-b580-b003a4fdf3fc,vst_BART_2015,43,4.6,190.5,NEON.PLA.D01.BART.00811,BEAL2,Betula alleghaniensis Britton,species
e252459e-2dde-4e57-9cf2-e947362a6d86,vst_BART_2015,41,21.6,124.7,NEON.PLA.D01.BART.00875,FAGR,Fagus grandifolia Ehrh.,species
b1d048d7-97dd-4e42-9166-74525a41cbc4,vst_BART_2015,57,21.5,105.1,NEON.PLA.D01.BART.00876,TSCA,Tsuga canadensis (L.) Carrière,species
7be18eb3-9d43-45c1-b582-ce70fb392302,vst_BART_2015,41,9.7,37.2,NEON.PLA.D01.BART.00877,FAGR,Fagus grandifolia Ehrh.,species
9511db51-88d0-43e7-836e-0b2ce02edf0f,vst_BART_2018,61,5.4,242.6,NEON.PLA.D01.BART.00944,FAGR,Fagus grandifolia Ehrh.,species
9fb4ca59-2625-418f-9852-4104e3ac2a73,vst_BART_2015,39,0.8,70.1,NEON.PLA.D01.BART.00994,FAGR,Fagus grandifolia Ehrh.,species
f416e027-1411-4075-acbd-6624169cb1d8,vst_BART_2015,25,12,340,NEON.PLA.D01.BART.00996,TSCA,Tsuga canadensis (L.) Carrière,species
95a023c3-8a6c-4cc9-a85d-ceebfc708903,vst_BART_2016,41,11.7,6.8,NEON.PLA.D01.BART.01007,ACRU,Acer rubrum L.,species
c936f062-fc7a-484a-bdaf-965c0696b6c3,vst_BART_2016,51,5.7,239.2,NEON.PLA.D01.BART.01123,ACSAS,Acer saccharum Marshall var. saccharum,variety
01569adf-d0ad-4c3e-9011-266168220086,vst_BART_2016,41,0.8,322,NEON.PLA.D01.BART.01809,TSCA,Tsuga canadensis (L.) Carrière,species
cf823168-afd6-4571-93a9-8a8eea7c734f,vst_BART_2015,57,23.2,106.9,NEON.PLA.D01.BART.01863,TSCA,Tsuga canadensis (L.) Carrière,species
23b0816d-3582-4f2f-8014-14ce526ee6ec,vst_BART_2015,25,28.9,309.3,NEON.PLA.D01.BART.02069,TSCA,Tsuga canadensis (L.) Carrière,species
cfcfac44-1fba-4667-bf26-9f7dd7e8a463,vst_BART_2016,31,2.6,49.1,NEON.PLA.D01.BART.02208,TSCA,Tsuga canadensis (L.) Carrière,species
99f30dae-44ce-4551-991e-9184bde521ee,vst_BART_2016,21,27.7,26.9,NEON.PLA.D01.BART.02220,FAGR,Fagus grandifolia Ehrh.,species
28787792-c270-44bb-b8ce-6ece31ede7fa,vst_BART_2015,50,6.2,274.1,NEON.PLA.D01.BART.02308,FAGR,Fagus grandifolia Ehrh.,species
975cadcd-181a-4eb3-a0fc-d50d2f3ee3f9,vst_BART_2015,50,8.2,286.9,NEON.PLA.D01.BART.02309,TSCA,Tsuga canadensis (L.) Carrière,species
f2517ee6-c5d5-4f9e-9b20-f2e7d813b5ca,vst_BART_2015,41,2.5,162.9,NEON.PLA.D01.BART.02311,FAGR,Fagus grandifolia Ehrh.,species
91f2d90a-6655-4c1e-9c89-ae451ee426f9,vst_BART_2015,41,4.3,156.3,NEON.PLA.D01.BART.02312,BEAL2,Betula alleghaniensis Britton,species
8dd3ca2a-5407-4b5c-9835-aa1461273b45,vst_BART_2015,43,15.5,221.7,NEON.PLA.D01.BART.02313,FAGR,Fagus grandifolia Ehrh.,species
0000cd40-0f35-43e3-94e7-90199de25600,vst_BART_2015,25,16.8,293.9,NEON.PLA.D01.BART.02314,FAGR,Fagus grandifolia Ehrh.,species
2e28e9dc-1cc7-4543-890b-6ca841c9400b,vst_BART_2015,25,12.3,284.4,NEON.PLA.D01.BART.02315,ACPE,Acer pensylvanicum L.,species
75de8c58-4faa-4d67-bdbb-30fadc4f2777,vst_BART_2015,25,11.8,283.9,NEON.PLA.D01.BART.02316,ACRU,Acer rubrum L.,species
444af92b-fd83-4bbd-b843-25fb9ecfbb80,vst_BART_2015,25,9.2,268.1,NEON.PLA.D01.BART.02317,ACRU,Acer rubrum L.,species
263336ed-fbf2-4721-9336-88b031df5ce3,vst_BART_2018,43,4.4,253.8,NEON.PLA.D01.BART.02318,TSCA,Tsuga canadensis (L.) Carrière,species
