uid,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,easting,northing,utmZone,elevation,elevationUncertainty,eventID
25e84c48-1e92-4c50-89d7-a04a7978fb9f,GUAN_004,distributed,evergreenForest,17.969254,-66.85267,WGS84,727404.74,1988099.02,19N,133.5,0.1,vst_GUAN_2016
c409ffea-9669-4fe2-8382-22ac052f36d9,GUAN_005,distributed,evergreenForest,17.968744,-66.880447,WGS84,724462.67,1988008.74,19N,164.3,0.2,vst_GUAN_2015
9d84edc3-63ed-45b7-9936-f0595aae7f20,GUAN_007,distributed,evergreenForest,17.972832,-66.857711,WGS84,726866.12,1988488.93,19N,174.7,0.2,vst_GUAN_2015
03895e82-ffdd-4e28-a8c8-2cdc84878075,GUAN_008,distributed,evergreenForest,17.965762,-66.832036,WGS84,729595.27,1987737.86,19N,65.8,0.1,vst_GUAN_2017
7388e09e-4857-47d8-a45e-52fc30838c90,GUAN_009,distributed,evergreenForest,17.97943,-66.867833,WGS84,725785.41,1989206.97,19N,116.5,0.1,vst_GUAN_2017
794094e4-aeba-451e-aec2-230c0b840e0e,GUAN_013,distributed,evergreenForest,17.963662,-66.837731,WGS84,728994.62,1987498.36,19N,62,0.1,vst_GUAN_2015
331a929d-3c74-44ad-8cc0-0fb4bafb5b54,GUAN_014,distributed,evergreenForest,17.955704,-66.852256,WGS84,727465.95,1986599.55,19N,21.8,0.1,vst_GUAN_2017
38433f36-988d-4660-b458-82f478ae35c3,GUAN_015,distributed,evergreenForest,17.976917,-66.861915,WGS84,726415.54,1988936,19N,207.8,0.4,vst_GUAN_2015
2ff3ae93-04d4-4ff0-b036-0095a0feb9da,GUAN_016,distributed,evergreenForest,17.967958,-66.884676,WGS84,724015.64,1987916.62,19N,164.5,0.2,vst_GUAN_2017
2f5f98be-6b79-4b00-bd71-02afc6a6ded7,GUAN_017,distributed,evergreenForest,17.965518,-66.835162,WGS84,729264.4,1987706.99,19N,75.5,0.1,vst_GUAN_2015
fbc8bb50-b6c8-42ed-b88b-a9ec5d3e1fc5,GUAN_018,distributed,evergreenForest,17.971776,-66.861998,WGS84,726413.3,1988366.79,19N,162.6,0.2,vst_GUAN_2016
05fd7cd2-7910-4604-8f6b-0ffdfbcf7b44,GUAN_019,distributed,evergreenForest,17.966255,-66.876782,WGS84,724854.09,1987737.65,19N,131.7,0.2,vst_GUAN_2017
83745e3a-2545-43bd-855f-750b0c6f3a7b,GUAN_042,tower,evergreenForest,17.970725,-66.86397,WGS84,726205.73,1988248.04,19N,146.9,0.5,vst_GUAN_2015
8e73aa4f-7f1b-454a-b54a-4ccbd45790f5,GUAN_043,tower,evergreenForest,17.968869,-66.867682,WGS84,725814.84,1988038.07,19N,115.9,0.1,vst_GUAN_2016
4ad9fb3b-eb2f-4d74-8d31-7f17eb82daf8,GUAN_044,tower,evergreenForest,17.966738,-66.870526,WGS84,725516.25,1987798.71,19N,147.5,0.1,vst_GUAN_2017
38e237c5-1041-4fe6-8556-4a75f90f7125,GUAN_045,tower,evergreenForest,17.969212,-66.873903,WGS84,725155.35,1988068.48,19N,145.3,0.1,vst_GUAN_2016
cc821cd7-b3d4-479c-a7bf-0274c8db0fae,GUAN_046,tower,evergreenForest,17.971618,-66.87246,WGS84,725305.17,1988336.57,19N,168,0.1,vst_GUAN_2017
a8e50da0-477d-4515-a87e-f0a1054de3b9,GUAN_047,tower,evergreenForest,17.973185,-66.866786,WGS84,725904.27,1988516.93,19N,159.8,0.2,vst_GUAN_2015
5bc06084-fe27-44db-872b-a0f7f7b4dbc7,GUAN_048,tower,evergreenForest,17.96911,-66.864276,WGS84,726175.37,1988068.89,19N,132.5,0.1,vst_GUAN_2016
957b6ee9-5508-4d8e-97e8-5a01483032fc,GUAN_049,tower,evergreenForest,17.967743,-66.8643,WGS84,726174.57,1987917.54,19N,124.8,0.1,vst_GUAN_2015
b05300c9-491c-4122-a48a-b3d48d278c4d,GUAN_050,tower,evergreenForest,17.969913,-66.865696,WGS84,726023.91,1988156.05,19N,147.4,0.1,vst_GUAN_2015
6280c53f-c733-43aa-bef1-4f3df0e5fa0b,GUAN_051,tower,evergreenForest,17.969091,-66.863147,WGS84,726295,1988068.17,19N,132.7,0.2,vst_GUAN_2015
a2de9617-e9ff-421b-8abf-ed3d2c41a606,GUAN_052,tower,evergreenForest,17.968041,-66.86713,WGS84,725874.37,1987947.08,19N,111.7,0.1,vst_GUAN_2015
5fd578c6-e80c-4386-bb0d-3f856acf0965,GUAN_054,tower,evergreenForest,17.968868,-66.866561,WGS84,725933.6,1988039.32,19N,111.4,0.1,vst_GUAN_2015
a128ee52-899e-4faf-90da-fcc916e745ad,GUAN_055,tower,evergreenForest,17.969688,-66.867651,WGS84,725817.08,1988128.77,19N,116.7,0.1,vst_GUAN_2016
288590a7-db0a-4f29-bcec-ed64617dd8d2,GUAN_056,tower,evergreenForest,17.971008,-66.865387,WGS84,726055.25,1988277.64,19N,143.7,0.1,vst_GUAN_2016
5d64f304-277d-44f1-934c-4dc27f5a5717,GUAN_057,tower,evergreenForest,17.96857,-66.865136,WGS84,726084.95,1988008.07,19N,127.6,0.1,vst_GUAN_2016
bda1bc7c-f069-4a83-aa48-bf8b852a59cd,GUAN_058,tower,evergreenForest,17.970233,-66.866809,WGS84,725905.59,1988190.12,19N,121.6,0.1,vst_GUAN_2015
